Id,Index,SubIndex,Access,Type,Length
140,1606,06,Read/Write,UNSIGNED32,32
141,1606,07,Read/Write,UNSIGNED32,32
142,1606,08,Read/Write,UNSIGNED32,32
143,1607,00,Read/Write,UNSIGNED8,8
144,1607,01,Read/Write,UNSIGNED32,32
145,1607,02,Read/Write,UNSIGNED32,32
146,1607,03,Read/Write,UNSIGNED32,32
147,1607,04,Read/Write,UNSIGNED32,32
148,1607,05,Read/Write,UNSIGNED32,32
149,1607,06,Read/Write,UNSIGNED32,32
150,1607,07,Read/Write,UNSIGNED32,32
151,1607,08,Read/Write,UNSIGNED32,32
152,1800,00,Read,UNSIGNED8,8
153,1800,01,Read/Write,UNSIGNED32,32
154,1800,02,Read/Write,UNSIGNED8,8
155,1800,03,Read/Write,UNSIGNED16,16
156,1800,04,Read/Write,UNSIGNED8,8
157,1800,05,Read/Write,UNSIGNED16,16
158,1800,06,Read/Write,UNSIGNED8,8
159,1801,00,Read,UNSIGNED8,8
160,1801,01,Read/Write,UNSIGNED32,32
161,1801,02,Read/Write,UNSIGNED8,8
162,1801,03,Read/Write,UNSIGNED16,16
163,1801,04,Read/Write,UNSIGNED8,8
164,1801,05,Read/Write,UNSIGNED16,16
165,1801,06,Read/Write,UNSIGNED8,8
166,1802,00,Read,UNSIGNED8,8
167,1802,01,Read/Write,UNSIGNED32,32
168,1802,02,Read/Write,UNSIGNED8,8
169,1802,03,Read/Write,UNSIGNED16,16
170,1802,04,Read/Write,UNSIGNED8,8
171,1802,05,Read/Write,UNSIGNED16,16
172,1802,06,Read/Write,UNSIGNED8,8
173,1803,00,Read,UNSIGNED8,8
174,1803,01,Read/Write,UNSIGNED32,32
175,1803,02,Read/Write,UNSIGNED8,8
176,1803,03,Read/Write,UNSIGNED16,16
177,1803,04,Read/Write,UNSIGNED8,8
178,1803,05,Read/Write,UNSIGNED16,16
179,1803,06,Read/Write,UNSIGNED8,8
180,1804,00,Read,UNSIGNED8,8
181,1804,01,Read/Write,UNSIGNED32,32
182,1804,02,Read/Write,UNSIGNED8,8
183,1804,03,Read/Write,UNSIGNED16,16
184,1804,04,Read/Write,UNSIGNED8,8
185,1804,05,Read/Write,UNSIGNED16,16
186,1804,06,Read/Write,UNSIGNED8,8
187,1805,00,Read,UNSIGNED8,8
188,1805,01,Read/Write,UNSIGNED32,32
189,1805,02,Read/Write,UNSIGNED8,8
190,1805,03,Read/Write,UNSIGNED16,16
191,1805,04,Read/Write,UNSIGNED8,8
192,1805,05,Read/Write,UNSIGNED16,16
193,1805,06,Read/Write,UNSIGNED8,8
194,1806,00,Read,UNSIGNED8,8
195,1806,01,Read/Write,UNSIGNED32,32
196,1806,02,Read/Write,UNSIGNED8,8
197,1806,03,Read/Write,UNSIGNED16,16
198,1806,04,Read/Write,UNSIGNED8,8
199,1806,05,Read/Write,UNSIGNED16,16
200,1806,06,Read/Write,UNSIGNED8,8
201,1807,00,Read,UNSIGNED8,8
202,1807,01,Read/Write,UNSIGNED32,32
203,1807,02,Read/Write,UNSIGNED8,8
204,1807,03,Read/Write,UNSIGNED16,16
205,1807,04,Read/Write,UNSIGNED8,8
206,1807,05,Read/Write,UNSIGNED16,16
207,1807,06,Read/Write,UNSIGNED8,8
208,1A00,00,Read/Write,UNSIGNED8,8
209,1A00,01,Read/Write,UNSIGNED32,32
210,1A00,02,Read/Write,UNSIGNED32,32
211,1A00,03,Read/Write,UNSIGNED32,32
